[08/28/2012 1:56:57 PM][DEBUG][clChildList][GetIsPrimarySchoolProgram][00000000-0000-0000-0000-000000000000] Debug GetIsPrimarySchoolProgram called
[08/28/2012 1:56:57 PM][INFO][clSchoolYear][GetCurrentSchoolYear][00000000-0000-0000-0000-000000000000] Execute GetCurrentSchoolYear Method
[08/28/2012 1:56:57 PM][DEBUG][clSchoolYear][GetCurrentSchoolYear][00000000-0000-0000-0000-000000000000] Debug GetCurrentSchoolYear Method
[08/28/2012 1:56:58 PM][INFO][clAddEditChild][GetFessPeriodFromSchoolProgramFeesDetail][00000000-0000-0000-0000-000000000000] Execute GetFessPeriodFromSchoolProgramFeesDetail Method
[08/28/2012 1:56:58 PM][DEBUG][clAddEditChild][GetFessPeriodFromSchoolProgramFeesDetail][00000000-0000-0000-0000-000000000000] Debug GetFessPeriodFromSchoolProgramFeesDetail Method
[08/28/2012 1:56:58 PM][INFO][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Execute LoadProgClassRoom Method
[08/28/2012 1:56:58 PM][DEBUG][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Debug LoadProgClassRoom Method
[08/28/2012 1:56:58 PM][INFO][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Execute LoadProgClassRoom Method
[08/28/2012 1:56:58 PM][DEBUG][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Debug LoadProgClassRoom Method
[08/28/2012 1:56:58 PM][INFO][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Execute LoadProgClassRoom Method
[08/28/2012 1:56:58 PM][DEBUG][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Debug LoadProgClassRoom Method
[08/28/2012 1:56:58 PM][INFO][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Execute LoadProgClassRoom Method
[08/28/2012 1:56:58 PM][DEBUG][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Debug LoadProgClassRoom Method
[08/28/2012 1:56:58 PM][INFO][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Execute LoadProgClassRoom Method
[08/28/2012 1:56:58 PM][DEBUG][clAddEditChild][LoadProgClassRoom][00000000-0000-0000-0000-000000000000] Debug LoadProgClassRoom Method
[08/28/2012 1:56:58 PM][INFO][ChildProgEnrollment][LoadProgEnrollment][00000000-0000-0000-0000-000000000000] LoadProgEnrollment method called
[08/28/2012 1:56:58 PM][DEBUG][ChildProgEnrollment][LoadProgEnrollment][00000000-0000-0000-0000-000000000000] Debug LoadProgEnrollment called
[08/28/2012 1:57:01 PM][INFO][clChildList][GetIsPrimarySchoolProgram][00000000-0000-0000-0000-000000000000] GetIsPrimarySchoolProgram method called
[08/28/2012 1:57:01 PM][DEBUG][clChildList][GetIsPrimarySchoolProgram][00000000-0000-0000-0000-000000000000] Debug GetIsPrimarySchoolProgram called
[08/28/2012 1:57:01 PM][INFO][clSchoolYear][GetCurrentSchoolYear][00000000-0000-0000-0000-000000000000] Execute GetCurrentSchoolYear Method
[08/28/2012 1:57:01 PM][DEBUG][clSchoolYear][GetCurrentSchoolYear][00000000-0000-0000-0000-000000000000] Debug GetCurrentSchoolYear Method
[08/28/2012 1:57:01 PM][INFO][clAddEditChild][GetFees][00000000-0000-0000-0000-000000000000] Execute GetFees Method
[08/28/2012 1:57:01 PM][DEBUG][clAddEditChild][GetFees][00000000-0000-0000-0000-000000000000] Debug GetFees Method
