[05/02/2012 10:28:11 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:11 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:11 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:11 AM][INFO][clSchoolYear][LoadAllSchoolYear][00000000-0000-0000-0000-000000000000] Execute LoadAllSchoolYear Method
[05/02/2012 10:28:11 AM][DEBUG][clSchoolYear][LoadAllSchoolYear][00000000-0000-0000-0000-000000000000] Debug LoadAllSchoolYear Method
[05/02/2012 10:28:11 AM][INFO][clSchool][LoadSchoolInfo][00000000-0000-0000-0000-000000000000] LoadSchoolInfo method called
[05/02/2012 10:28:11 AM][DEBUG][clSchool][LoadSchoolInfo][00000000-0000-0000-0000-000000000000] Debug LoadSchoolInfo called
[05/02/2012 10:28:11 AM][INFO][clLedgerOfFamily][LoadChildFamily][00000000-0000-0000-0000-000000000000] Execute LoadChildFamily Method
[05/02/2012 10:28:11 AM][DEBUG][clLedgerOfFamily][LoadChildFamily][00000000-0000-0000-0000-000000000000] Debug LoadChildFamily Method
[05/02/2012 10:30:07 AM][INFO][Ledger][GetChildProgEnrollmentFeeDetail][00000000-0000-0000-0000-000000000000] GetChildProgEnrollmentFeeDetail method called
[05/02/2012 10:30:07 AM][DEBUG][Ledger][GetChildProgEnrollmentFeeDetail][00000000-0000-0000-0000-000000000000] Debug GetChildProgEnrollmentFeeDetail called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetChildProgEnrollmentFeeDetail][00000000-0000-0000-0000-000000000000] GetChildProgEnrollmentFeeDetail method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetChildProgEnrollmentFeeDetail][00000000-0000-0000-0000-000000000000] Debug GetChildProgEnrollmentFeeDetail called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:07 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:07 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:30:08 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:30:08 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
